dtrace: system integrity protection is on, some features will not be available
	PID/THRD  SYSCALL(args) 		 = return
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
 3470/0x68a03:  fork()		 = 0 0
 3470/0x68a03:  csrctl(0x0, 0x7FF7B207137C, 0x4)		 = -1 1
 3470/0x68a03:  proc_info(0xF, 0xD8E, 0x0)		 = 0 0
 3470/0x68a03:  thread_selfid(0x0, 0x0, 0x0)		 = 428547 0
 3470/0x68a03:  fsgetpath(0x7FF7B20713D0, 0x400, 0x7FF7B2071820)		 = 14 0
 3470/0x68a03:  shared_region_check_np(0x7FF7B20719C8, 0x0, 0x0)		 = 0 0
 3470/0x68a03:  getpid(0x0, 0x0, 0x0)		 = 3470 0
 3470/0x68a03:  munmap(0x11C9F4000, 0x9E000)		 = 0 0
 3470/0x68a03:  munmap(0x11CA92000, 0x7000)		 = 0 0
 3470/0x68a03:  munmap(0x11CA99000, 0x22000)		 = 0 0
 3470/0x68a03:  munmap(0x11CABB000, 0x4000)		 = 0 0
 3470/0x68a03:  munmap(0x11CABF000, 0x0)		 = -1 22
 3470/0x68a03:  munmap(0x11CABF000, 0x54000)		 = 0 0
 3470/0x68a03:  open(".\0", 0x100000, 0x0)		 = 3 0
 3470/0x68a03:  fcntl(0x3, 0x32, 0x7FF7B2070B10)		 = 0 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  fsgetpath(0x7FF7B2070B20, 0x400, 0x7FF7B2070B08)		 = 40 0
 3470/0x68a03:  fsgetpath(0x7FF7B2070B20, 0x400, 0x7FF7B2070B08)		 = 14 0
 3470/0x68a03:  csrctl(0x0, 0x7FF7B2070F2C, 0x4)		 = -1 1
 3470/0x68a03:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B2070D70)		 = 0 0
 3470/0x68a03:  csrctl(0x0, 0x7FF7B2070F2C, 0x4)		 = -1 1
 3470/0x68a03:  __mac_syscall(0x7FF8117BEF76, 0x5A, 0x7FF7B2070EC0)		 = 0 0
 3470/0x68a03:  open("/\0", 0x20100000, 0x0)		 = 3 0
